;MG-2-F1;MG-3-F1;MG-5-F1;MG-7-F1;LF-1-F1;LF-2-F1;LF-4-F1;LF-6-F1;MEc-3-F1;MEc-4-F1;MEc-5-F1;MEc-6-F1;MG-1-F2;MG-4-F2;MG-6-F2;MG-7-F2;LF-2-F2;LF-3-F2;LF-6-F2;LF-8-F2;MEc-2-F2;MEc-3-F2;MEc-4-F2;MEc-8-F2;MG-1-F4;MG-3-F4;MG-5-F4;MG-6-F4;LF-1-F4;LF-3-F4;LF-5-F4;LF-7-F4;MEc-2-F4;MEc-3-F4;MEc-4-F4;MEc-7-F4
MG-1-F1;0;0;1;1;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-4-F1;0;0;0;0;0;0;0;0;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-6-F1;0;0;0;1;0;0;0;0;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-7-F1;1;1;1;1;1;1;0;1;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-1-F1;0;0;1;0;0;1;1;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-2-F1;0;0;0;0;0;0;0;0;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-4-F1;0;0;0;0;0;0;1;1;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-5-F1;1;1;1;1;0;0;0;0;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-2-F1;1;0;0;0;1;1;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-4-F1;0;0;0;0;0;0;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-5-F1;0;0;0;0;1;0;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-6-F1;0;0;0;0;1;0;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-1-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;1;1;1;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-2-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-5-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;1;1;1;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-8-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-1-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;1;1;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-3-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-4-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;1;1;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LF-7-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;1;1;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-1-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;1;1;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-2-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;1;1;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-3-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;1;1;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MEc-6-F2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;1;1;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MG-1-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;0;0;0;0
MG-3-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;0;0;1;0;0;0;0
MG-5-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;0;0;0;0
MG-7-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;0;0;1;0;0;0;0
LF-1-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;1;1;0;1;0;0;0;0
LF-3-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;1;1;0;1;0;0;0;0
LF-6-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;1;1;0;1;0;0;0;0
LF-8-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;0;1;0;0;0;0
MEc-1-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;0;1;0;0;0;0
MEc-2-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;1;1;0;1;0;0;0;1
MEc-7-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;1;1;0;0;1;0;0;0;0
MEc-8-F4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;1;0;0;0;0
